"SpaceID","EventTime_UTC","OccupancyState"
"CB2046","2026 May 12 08:55:02 AM","VACANT"
"SV40","2026 May 12 08:55:02 AM","VACANT"
"CB647","2026 May 12 08:54:59 AM","VACANT"
"82714","2026 May 12 08:54:25 AM","VACANT"
"CB1015","2026 May 12 08:54:24 AM","VACANT"
"SV700","2026 May 12 08:54:05 AM","VACANT"
"HO244A","2026 May 12 08:53:27 AM","VACANT"
"SV32","2026 May 12 08:52:59 AM","VACANT"
"LT246","2026 May 12 08:52:58 AM","VACANT"
"HO31","2026 May 12 08:52:53 AM","VACANT"
"66112","2026 May 12 08:52:30 AM","OCCUPIED"
"SV28","2026 May 12 08:52:29 AM","VACANT"
"HO19","2026 May 12 08:52:27 AM","VACANT"
"CB3469","2026 May 12 08:52:21 AM","VACANT"
"82822","2026 May 12 08:52:06 AM","VACANT"
"CB1405A","2026 May 12 08:51:50 AM","VACANT"
"SH20","2026 May 12 08:51:06 AM","VACANT"
"SV30","2026 May 12 08:50:59 AM","VACANT"
"CB2831","2026 May 12 08:50:40 AM","OCCUPIED"
"CB413","2026 May 12 08:50:36 AM","VACANT"
"CB2832","2026 May 12 08:50:28 AM","VACANT"
"CB1137","2026 May 12 08:50:28 AM","VACANT"
"HO733","2026 May 12 08:50:04 AM","OCCUPIED"
"CB409","2026 May 12 08:49:39 AM","VACANT"
"HO191A","2026 May 12 08:49:37 AM","VACANT"
"CB3765","2026 May 12 08:49:15 AM","VACANT"
"CB2970","2026 May 12 08:49:08 AM","VACANT"
"SV609","2026 May 12 08:48:30 AM","VACANT"
"82713","2026 May 12 08:48:23 AM","VACANT"
"HO980","2026 May 12 08:47:36 AM","VACANT"
"CB3577","2026 May 12 08:47:25 AM","VACANT"
"82702","2026 May 12 08:47:22 AM","VACANT"
"SV110","2026 May 12 08:47:13 AM","VACANT"
"HO105","2026 May 12 08:47:10 AM","VACANT"
"CB3500","2026 May 12 08:46:26 AM","VACANT"
"CT456","2026 May 12 08:46:07 AM","VACANT"
"HO275","2026 May 12 08:45:46 AM","VACANT"
"HO71","2026 May 12 08:45:05 AM","VACANT"
"CB1212","2026 May 12 08:44:46 AM","VACANT"
"66414","2026 May 12 08:44:19 AM","VACANT"
"SV31","2026 May 12 08:44:10 AM","VACANT"
"HO47","2026 May 12 08:44:09 AM","VACANT"
"66293","2026 May 12 08:44:04 AM","VACANT"
"HO220","2026 May 12 08:43:26 AM","VACANT"
"HO280A","2026 May 12 08:43:24 AM","VACANT"
"66594","2026 May 12 08:43:18 AM","VACANT"
"CB1550","2026 May 12 08:42:55 AM","VACANT"
"CB3533","2026 May 12 08:42:50 AM","VACANT"
"CB1553","2026 May 12 08:42:47 AM","VACANT"
"82708","2026 May 12 08:42:44 AM","VACANT"
"HO276","2026 May 12 08:42:40 AM","VACANT"
"CB1549","2026 May 12 08:42:38 AM","VACANT"
"HO441","2026 May 12 08:42:32 AM","VACANT"
"SV650","2026 May 12 08:42:32 AM","VACANT"
"HO45","2026 May 12 08:42:28 AM","VACANT"
"82710","2026 May 12 08:41:53 AM","VACANT"
"82703","2026 May 12 08:41:44 AM","VACANT"
"WP14","2026 May 12 08:41:18 AM","VACANT"
"WP13","2026 May 12 08:41:17 AM","VACANT"
"82707","2026 May 12 08:41:13 AM","VACANT"
"CB3580","2026 May 12 08:40:34 AM","VACANT"
"HO269","2026 May 12 08:40:31 AM","VACANT"
"CB20","2026 May 12 08:40:15 AM","VACANT"
"HO237","2026 May 12 08:39:50 AM","VACANT"
"HO282","2026 May 12 08:39:49 AM","VACANT"
"SV470","2026 May 12 08:39:42 AM","VACANT"
"SP638","2026 May 12 08:39:20 AM","VACANT"
"HO212","2026 May 12 08:38:45 AM","VACANT"
"CB1395A","2026 May 12 08:38:42 AM","VACANT"
"HO121","2026 May 12 08:38:25 AM","VACANT"
"61366","2026 May 12 08:38:23 AM","VACANT"
"CB920","2026 May 12 08:37:57 AM","OCCUPIED"
"WV665","2026 May 12 08:37:56 AM","VACANT"
"61352","2026 May 12 08:37:50 AM","VACANT"
"HO463","2026 May 12 08:36:20 AM","OCCUPIED"
"SP669","2026 May 12 08:36:05 AM","OCCUPIED"
"CB3193","2026 May 12 08:33:51 AM","OCCUPIED"
"SV653","2026 May 12 08:33:46 AM","VACANT"
"HO241","2026 May 12 08:33:45 AM","VACANT"
"CB4451","2026 May 12 08:32:21 AM","OCCUPIED"
"CB3779","2026 May 12 08:31:51 AM","VACANT"
"SP585","2026 May 12 08:31:20 AM","VACANT"
"WP99","2026 May 12 08:31:07 AM","VACANT"
"CB738","2026 May 12 08:30:59 AM","VACANT"
"CB354","2026 May 12 08:30:48 AM","VACANT"
"SV95","2026 May 12 08:30:24 AM","OCCUPIED"
"CB4313","2026 May 12 08:30:04 AM","VACANT"
"HO450A","2026 May 12 08:29:46 AM","OCCUPIED"
"HO1059","2026 May 12 08:29:46 AM","OCCUPIED"
"66152","2026 May 12 08:28:44 AM","VACANT"
"HO285","2026 May 12 08:27:58 AM","VACANT"
"SV42","2026 May 12 08:26:23 AM","VACANT"
"HO526","2026 May 12 08:25:55 AM","VACANT"
"HO286","2026 May 12 08:25:40 AM","VACANT"
"CB142","2026 May 12 08:23:33 AM","OCCUPIED"
"CB4358","2026 May 12 08:23:24 AM","VACANT"
"SV39","2026 May 12 08:23:11 AM","VACANT"
"CB416","2026 May 12 08:22:19 AM","VACANT"
"HO280","2026 May 12 08:22:01 AM","VACANT"
"CB1647","2026 May 12 08:21:45 AM","VACANT"
"CB1336","2026 May 12 08:21:26 AM","VACANT"
"CB1214","2026 May 12 08:21:25 AM","VACANT"
"66407","2026 May 12 08:20:57 AM","VACANT"
"CB623","2026 May 12 08:20:49 AM","VACANT"
"61363","2026 May 12 08:20:45 AM","VACANT"
"CB128","2026 May 12 08:20:20 AM","OCCUPIED"
"CB1492","2026 May 12 08:19:30 AM","VACANT"
"CB1157","2026 May 12 08:19:17 AM","OCCUPIED"
"HO74A","2026 May 12 08:18:39 AM","VACANT"
"HO684","2026 May 12 08:18:16 AM","VACANT"
"V67","2026 May 12 08:17:56 AM","VACANT"
"CB1632","2026 May 12 08:17:43 AM","VACANT"
"CB1624","2026 May 12 08:17:14 AM","VACANT"
"HO250","2026 May 12 08:17:05 AM","OCCUPIED"
"HO683","2026 May 12 08:17:03 AM","VACANT"
"CB1626","2026 May 12 08:17:00 AM","VACANT"
"HO676","2026 May 12 08:16:16 AM","VACANT"
"SV611","2026 May 12 08:16:08 AM","OCCUPIED"
"CB2267","2026 May 12 08:15:48 AM","OCCUPIED"
"CB1430","2026 May 12 08:14:32 AM","VACANT"
"CB861","2026 May 12 08:13:27 AM","VACANT"
"61144","2026 May 12 08:13:06 AM","VACANT"
"CB3998","2026 May 12 08:12:35 AM","VACANT"
"CB4351A","2026 May 12 08:11:24 AM","VACANT"
"66419","2026 May 12 08:11:12 AM","VACANT"
"CB854A","2026 May 12 08:10:49 AM","VACANT"
"SV289","2026 May 12 08:10:09 AM","OCCUPIED"
"SP868","2026 May 12 08:10:03 AM","VACANT"
"CB1465A","2026 May 12 08:10:00 AM","VACANT"
"CB852","2026 May 12 08:09:42 AM","VACANT"
"66597","2026 May 12 08:09:35 AM","VACANT"
"SV215","2026 May 12 08:09:14 AM","VACANT"
"SV12","2026 May 12 08:09:05 AM","VACANT"
"HO41","2026 May 12 08:08:05 AM","VACANT"
"SV587","2026 May 12 08:08:02 AM","VACANT"
"SP116","2026 May 12 08:07:40 AM","OCCUPIED"
"CB3993","2026 May 12 08:07:35 AM","VACANT"
"CB3992","2026 May 12 08:07:28 AM","VACANT"
"WP78B","2026 May 12 08:07:25 AM","VACANT"
"CB942","2026 May 12 08:06:25 AM","OCCUPIED"
"CT441","2026 May 12 08:06:13 AM","OCCUPIED"
"SV863","2026 May 12 08:05:24 AM","VACANT"
"SV575","2026 May 12 08:05:17 AM","VACANT"
"66598","2026 May 12 08:05:00 AM","OCCUPIED"
"CB3996","2026 May 12 08:04:59 AM","OCCUPIED"
"CB424","2026 May 12 08:03:30 AM","VACANT"
"SV212","2026 May 12 08:02:33 AM","VACANT"
"CB421","2026 May 12 08:02:33 AM","VACANT"
"HO278A","2026 May 12 08:02:17 AM","OCCUPIED"
"CB462","2026 May 12 08:02:11 AM","VACANT"
"SV734","2026 May 12 08:01:49 AM","VACANT"
"CB373","2026 May 12 08:01:43 AM","OCCUPIED"
"HO895","2026 May 12 08:00:59 AM","VACANT"
"HO453","2026 May 12 08:00:28 AM","VACANT"
"HO358","2026 May 12 08:00:02 AM","OCCUPIED"
"CB1982","2026 May 12 07:59:39 AM","VACANT"
"CB414","2026 May 12 07:58:37 AM","VACANT"
"CB411","2026 May 12 07:58:17 AM","VACANT"
"WV83A","2026 May 12 07:57:28 AM","VACANT"
