regime,source,target,source_sensor_id,target_sensor_id,importance,in_adjacency,hops,hop_bucket,road_distance_m,has_road_distance,haversine_m_reference_only,source_lat,source_lon,target_lat,target_lon
congested,81,155,769431,717468,0.585386,False,6,6,,False,14816.0,34.15843,-118.45664,34.09699,-118.31381
congested,44,193,774012,717453,0.585055,False,9,>8,,False,10747.3,34.14769,-118.20137,34.07696,-118.28093
congested,149,191,763995,717450,0.584722,False,7,7,,False,20385.2,34.21979,-118.40931,34.07488,-118.27362
congested,36,144,760987,764853,0.584632,False,6,6,,False,12870.6,34.15359,-118.34043,34.06461,-118.25102
congested,167,91,717582,773023,0.583007,False,5,5,,False,11095.1,34.15646,-118.26092,34.05773,-118.24348
congested,160,155,717461,717468,0.582066,False,2,2,5482.4,True,1686.7,34.08558,-118.30174,34.09699,-118.31381
congested,149,193,763995,717453,0.581361,False,7,7,,False,19794.1,34.21979,-118.40931,34.07696,-118.28093
congested,167,160,717582,717461,0.581168,False,6,6,,False,8731.4,34.15646,-118.26092,34.08558,-118.30174
congested,15,191,716331,717450,0.579633,False,3,3,6933.0,True,1159.2,34.07006,-118.26246,34.07488,-118.27362
congested,163,127,717462,717472,0.578772,False,2,2,5566.1,True,1485.3,34.08993,-118.30607,34.10045,-118.31601
congested,137,172,769358,772178,0.57708,False,3,3,9160.8,True,7180.7,34.15679,-118.42222,34.16903,-118.49885
congested,12,155,716339,717468,0.574899,False,2,2,5888.1,True,3167.3,34.07821,-118.28795,34.09699,-118.31381
congested,159,155,717466,717468,0.573672,False,2,2,4641.4,True,569.8,34.09359,-118.30918,34.09699,-118.31381
congested,45,155,774011,717468,0.572723,False,-1,unreachable,,False,11785.7,34.14747,-118.20123,34.09699,-118.31381
congested,159,191,717466,717450,0.570851,False,2,2,4048.2,True,3879.8,34.09359,-118.30918,34.07488,-118.27362
congested,67,193,773880,717453,0.568637,False,6,6,,False,10551.6,34.15367,-118.3484,34.07696,-118.28093
congested,187,155,717458,717468,0.568343,False,2,2,4977.6,True,2187.4,34.08265,-118.29755,34.09699,-118.31381
congested,193,127,717453,717472,0.568163,False,3,3,8068.2,True,4154.3,34.07696,-118.28093,34.10045,-118.31601
